onset	duration	trial_type
0.0	8.0	Movement
8.0	8.0	Neutral
16.0	8.0	Happy
24.0	8.0	Sad
32.0	8.0	Alternate
40.0	8.0	Alternate
48.0	8.0	Sad
56.0	8.0	Movement
64.0	8.0	Happy
72.0	8.0	Neutral
80.0	8.0	Happy
88.0	8.0	Alternate
96.0	8.0	Movement
104.0	8.0	Neutral
112.0	8.0	Sad
120.0	8.0	Happy
128.0	8.0	Movement
136.0	8.0	Sad
144.0	8.0	Neutral
152.0	8.0	Alternate
160.0	8.0	Alternate
168.0	8.0	Movement
176.0	8.0	Sad
184.0	8.0	Neutral
192.0	8.0	Happy
200.0	8.0	Neutral
208.0	8.0	Movement
216.0	8.0	Alternate
224.0	8.0	Sad
232.0	8.0	Happy
240.0	8.0	Happy
248.0	8.0	Movement
256.0	8.0	Alternate
264.0	8.0	Sad
272.0	8.0	Neutral
280.0	8.0	Sad
288.0	8.0	Neutral
296.0	8.0	Happy
304.0	8.0	Movement
312.0	8.0	Alternate
