onset	duration	trial_type
0.0	8.0	Movement
8.0	8.0	Alternate
16.0	8.0	Sad
24.0	8.0	Neutral
32.0	8.0	Happy
40.0	8.0	Sad
48.0	8.0	Happy
56.0	8.0	Movement
64.0	8.0	Alternate
72.0	8.0	Neutral
80.0	8.0	Sad
88.0	8.0	Alternate
96.0	8.0	Neutral
104.0	8.0	Happy
112.0	8.0	Movement
120.0	8.0	Sad
128.0	8.0	Alternate
136.0	8.0	Movement
144.0	8.0	Happy
152.0	8.0	Neutral
160.0	8.0	Happy
168.0	8.0	Sad
176.0	8.0	Alternate
184.0	8.0	Movement
192.0	8.0	Neutral
200.0	8.0	Movement
208.0	8.0	Sad
216.0	8.0	Alternate
224.0	8.0	Happy
232.0	8.0	Neutral
240.0	8.0	Alternate
248.0	8.0	Happy
256.0	8.0	Movement
264.0	8.0	Sad
272.0	8.0	Neutral
280.0	8.0	Sad
288.0	8.0	Neutral
296.0	8.0	Movement
304.0	8.0	Happy
312.0	8.0	Alternate
