onset	duration	trial_type
0.0	8.0	Neutral
8.0	8.0	Happy
16.0	8.0	Movement
24.0	8.0	Sad
32.0	8.0	Alternate
40.0	8.0	Movement
48.0	8.0	Neutral
56.0	8.0	Happy
64.0	8.0	Sad
72.0	8.0	Alternate
80.0	8.0	Neutral
88.0	8.0	Happy
96.0	8.0	Movement
104.0	8.0	Sad
112.0	8.0	Alternate
120.0	8.0	Movement
128.0	8.0	Sad
136.0	8.0	Neutral
144.0	8.0	Happy
152.0	8.0	Alternate
160.0	8.0	Happy
168.0	8.0	Sad
176.0	8.0	Alternate
184.0	8.0	Neutral
192.0	8.0	Movement
200.0	8.0	Neutral
208.0	8.0	Movement
216.0	8.0	Alternate
224.0	8.0	Sad
232.0	8.0	Happy
240.0	8.0	Happy
248.0	8.0	Neutral
256.0	8.0	Sad
264.0	8.0	Alternate
272.0	8.0	Movement
280.0	8.0	Sad
288.0	8.0	Movement
296.0	8.0	Happy
304.0	8.0	Neutral
312.0	8.0	Alternate
