onset	duration	trial_type
0.0	8.0	Sad
8.0	8.0	Movement
16.0	8.0	Alternate
24.0	8.0	Happy
32.0	8.0	Neutral
40.0	8.0	Neutral
48.0	8.0	Sad
56.0	8.0	Alternate
64.0	8.0	Happy
72.0	8.0	Movement
80.0	8.0	Happy
88.0	8.0	Neutral
96.0	8.0	Movement
104.0	8.0	Sad
112.0	8.0	Alternate
120.0	8.0	Movement
128.0	8.0	Happy
136.0	8.0	Alternate
144.0	8.0	Neutral
152.0	8.0	Sad
160.0	8.0	Movement
168.0	8.0	Sad
176.0	8.0	Happy
184.0	8.0	Alternate
192.0	8.0	Neutral
200.0	8.0	Movement
208.0	8.0	Neutral
216.0	8.0	Alternate
224.0	8.0	Happy
232.0	8.0	Sad
240.0	8.0	Alternate
248.0	8.0	Movement
256.0	8.0	Neutral
264.0	8.0	Happy
272.0	8.0	Sad
280.0	8.0	Neutral
288.0	8.0	Movement
296.0	8.0	Alternate
304.0	8.0	Happy
312.0	8.0	Sad
