onset	duration	trial_type
0.0	8.0	Alternate
8.0	8.0	Sad
16.0	8.0	Neutral
24.0	8.0	Movement
32.0	8.0	Happy
40.0	8.0	Sad
48.0	8.0	Movement
56.0	8.0	Alternate
64.0	8.0	Neutral
72.0	8.0	Happy
80.0	8.0	Neutral
88.0	8.0	Sad
96.0	8.0	Movement
104.0	8.0	Happy
112.0	8.0	Alternate
120.0	8.0	Happy
128.0	8.0	Alternate
136.0	8.0	Neutral
144.0	8.0	Sad
152.0	8.0	Movement
160.0	8.0	Alternate
168.0	8.0	Movement
176.0	8.0	Sad
184.0	8.0	Neutral
192.0	8.0	Happy
200.0	8.0	Happy
208.0	8.0	Alternate
216.0	8.0	Sad
224.0	8.0	Neutral
232.0	8.0	Movement
240.0	8.0	Movement
248.0	8.0	Neutral
256.0	8.0	Sad
264.0	8.0	Happy
272.0	8.0	Alternate
280.0	8.0	Alternate
288.0	8.0	Movement
296.0	8.0	Neutral
304.0	8.0	Happy
312.0	8.0	Sad
